ORDRE,NOM,SEXE,DECADA,FREQUENCIA
1,MARIA,Dona,Abans de 1930,1729
2,CARMEN,Dona,Abans de 1930,1239
3,JOSEFA,Dona,Abans de 1930,855
4,MONTSERRAT,Dona,Abans de 1930,738
5,ROSA,Dona,Abans de 1930,639
6,TERESA,Dona,Abans de 1930,607
7,PILAR,Dona,Abans de 1930,597
8,DOLORES,Dona,Abans de 1930,563
9,MERCEDES,Dona,Abans de 1930,516
10,ANTONIA,Dona,Abans de 1930,493
11,FRANCISCA,Dona,Abans de 1930,491
12,ISABEL,Dona,Abans de 1930,461
13,CONCEPCION,Dona,Abans de 1930,431
14,NURIA,Dona,Abans de 1930,352
15,ANA,Dona,Abans de 1930,299
16,JUANA,Dona,Abans de 1930,260
17,M TERESA,Dona,Abans de 1930,243
18,ROSARIO,Dona,Abans de 1930,221
19,M ROSA,Dona,Abans de 1930,201
20,JOSEFINA,Dona,Abans de 1930,196
21,JULIA,Dona,Abans de 1930,178
22,M CARMEN,Dona,Abans de 1930,178
23,ANGELA,Dona,Abans de 1930,175
24,MANUELA,Dona,Abans de 1930,174
25,M DOLORES,Dona,Abans de 1930,172
26,ANGELES,Dona,Abans de 1930,170
27,MARGARITA,Dona,Abans de 1930,164
28,CARME,Dona,Abans de 1930,160
29,EMILIA,Dona,Abans de 1930,159
30,M LUISA,Dona,Abans de 1930,152
31,MERCE,Dona,Abans de 1930,151
32,ASUNCION,Dona,Abans de 1930,139
33,AMPARO,Dona,Abans de 1930,136
34,LUISA,Dona,Abans de 1930,134
35,ENCARNACIO,Dona,Abans de 1930,124
36,RAMONA,Dona,Abans de 1930,120
37,CONSUELO,Dona,Abans de 1930,117
38,MATILDE,Dona,Abans de 1930,113
39,M PILAR,Dona,Abans de 1930,112
40,JOAQUINA,Dona,Abans de 1930,111
41,ELVIRA,Dona,Abans de 1930,110
42,AURORA,Dona,Abans de 1930,108
43,DOLORS,Dona,Abans de 1930,108
44,VICENTA,Dona,Abans de 1930,107
45,VICTORIA,Dona,Abans de 1930,105
46,ENRIQUETA,Dona,Abans de 1930,100
47,MAGDALENA,Dona,Abans de 1930,100
48,ELENA,Dona,Abans de 1930,97
49,NIEVES,Dona,Abans de 1930,94
50,FELISA,Dona,Abans de 1930,92
1,MARIA,Dona,1930,3626
2,CARMEN,Dona,1930,3079
3,JOSEFA,Dona,1930,2121
4,MONTSERRAT,Dona,1930,1715
5,ROSA,Dona,1930,1504
6,PILAR,Dona,1930,1479
7,DOLORES,Dona,1930,1352
8,ISABEL,Dona,1930,1302
9,FRANCISCA,Dona,1930,1293
10,ANTONIA,Dona,1930,1235
11,TERESA,Dona,1930,1232
12,MERCEDES,Dona,1930,1182
13,NURIA,Dona,1930,1032
14,CONCEPCION,Dona,1930,989
15,M TERESA,Dona,1930,876
16,M CARMEN,Dona,1930,835
17,JUANA,Dona,1930,777
18,M ROSA,Dona,1930,777
19,ANA,Dona,1930,776
20,ROSARIO,Dona,1930,723
21,MANUELA,Dona,1930,555
22,M DOLORES,Dona,1930,527
23,M LUISA,Dona,1930,504
24,JOSEFINA,Dona,1930,492
25,ANGELES,Dona,1930,481
26,MARGARITA,Dona,1930,469
27,M PILAR,Dona,1930,438
28,JULIA,Dona,1930,404
29,ANGELA,Dona,1930,397
30,LUISA,Dona,1930,377
31,CONSUELO,Dona,1930,369
32,EMILIA,Dona,1930,351
33,ENCARNACIO,Dona,1930,348
34,AMPARO,Dona,1930,343
35,AURORA,Dona,1930,335
36,ANA MARIA,Dona,1930,327
37,ROSER,Dona,1930,324
38,ELENA,Dona,1930,312
39,MERCE,Dona,1930,312
40,CARME,Dona,1930,303
41,VICTORIA,Dona,1930,287
42,M ANGELES,Dona,1930,277
43,JOAQUINA,Dona,1930,266
44,RAMONA,Dona,1930,262
45,ENCARNACION,Dona,1930,259
46,ASUNCION,Dona,1930,255
47,GLORIA,Dona,1930,251
48,ENRIQUETA,Dona,1930,249
49,MAGDALENA,Dona,1930,248
50,MATILDE,Dona,1930,232
1,CARMEN,Dona,1940,2997
2,M CARMEN,Dona,1940,2800
3,MARIA,Dona,1940,2662
4,MONTSERRAT,Dona,1940,2551
5,JOSEFA,Dona,1940,2091
6,M TERESA,Dona,1940,1949
7,PILAR,Dona,1940,1765
8,ISABEL,Dona,1940,1747
9,MERCEDES,Dona,1940,1488
10,FRANCISCA,Dona,1940,1444
11,ROSA,Dona,1940,1373
12,ANTONIA,Dona,1940,1275
13,DOLORES,Dona,1940,1265
14,CONCEPCION,Dona,1940,1257
15,TERESA,Dona,1940,1181
16,M ROSA,Dona,1940,1171
17,M DOLORES,Dona,1940,1120
18,M PILAR,Dona,1940,1119
19,M LUISA,Dona,1940,962
20,ANA,Dona,1940,876
21,JUANA,Dona,1940,871
22,ANA MARIA,Dona,1940,830
23,M ANGELES,Dona,1940,817
24,NURIA,Dona,1940,801
25,MARGARITA,Dona,1940,771
26,ROSARIO,Dona,1940,742
27,JOSEFINA,Dona,1940,732
28,M ISABEL,Dona,1940,729
29,MANUELA,Dona,1940,702
30,ROSA MARIA,Dona,1940,614
31,GLORIA,Dona,1940,557
32,ANGELES,Dona,1940,537
33,ANA M,Dona,1940,527
34,JULIA,Dona,1940,459
35,ROSA M,Dona,1940,458
36,MERCE,Dona,1940,445
37,ANGELA,Dona,1940,434
38,MARTA,Dona,1940,411
39,ENCARNACIO,Dona,1940,396
40,CONSUELO,Dona,1940,395
41,ELENA,Dona,1940,395
42,AMPARO,Dona,1940,394
43,MARIA CARMEN,Dona,1940,385
44,EMILIA,Dona,1940,383
45,MARIA TERESA,Dona,1940,382
46,M JOSEFA,Dona,1940,367
47,M ANTONIA,Dona,1940,362
48,MAGDALENA,Dona,1940,352
49,LUISA,Dona,1940,347
50,ALICIA,Dona,1940,323
1,MONTSERRAT,Dona,1950,3856
2,M CARMEN,Dona,1950,3174
3,CARMEN,Dona,1950,2274
4,M TERESA,Dona,1950,2070
5,ISABEL,Dona,1950,1846
6,MARIA,Dona,1950,1697
7,MERCEDES,Dona,1950,1511
8,JOSEFA,Dona,1950,1446
9,NURIA,Dona,1950,1445
10,M DOLORES,Dona,1950,1373
11,PILAR,Dona,1950,1339
12,M ISABEL,Dona,1950,1240
13,ANA MARIA,Dona,1950,1230
14,M PILAR,Dona,1950,1209
15,M ANGELES,Dona,1950,1110
16,ROSA MARIA,Dona,1950,1101
17,FRANCISCA,Dona,1950,1093
18,ANTONIA,Dona,1950,1050
19,ROSA,Dona,1950,1033
20,CONCEPCION,Dona,1950,1022
21,MARGARITA,Dona,1950,987
22,TERESA,Dona,1950,952
23,DOLORES,Dona,1950,935
24,ANA,Dona,1950,930
25,M LUISA,Dona,1950,895
26,M ROSA,Dona,1950,886
27,MARTA,Dona,1950,727
28,JUANA,Dona,1950,673
29,MANUELA,Dona,1950,645
30,ROSA M,Dona,1950,620
31,ROSARIO,Dona,1950,616
32,GLORIA,Dona,1950,613
33,ANA M,Dona,1950,596
34,JOSEFINA,Dona,1950,559
